aX,aY,aZ,gX,gY,gZ
0.56,-0.802,2.01,217.163,295.593,295.898
0.404,-0.68,1.786,221.558,335.571,309.875
0.259,-0.669,1.503,183.105,370.728,323.303
0.113,-0.59,1.221,127.93,393.86,339.905
-0.001,-0.58,0.969,93.323,403.564,355.042
-0.104,-0.57,0.799,96.802,402.893,373.657
-0.227,-0.327,0.704,115.967,396.301,401.306
-0.351,0.064,0.576,130.249,391.235,424.744
-0.481,0.472,0.378,124.512,387.939,429.382
-0.529,0.769,0.191,97.046,381.165,416.565
-0.692,1.045,-0.048,53.772,374.268,390.625
-0.73,1.174,-0.35,20.508,374.146,352.478
-0.81,1.198,-0.655,8.789,365.112,311.279
-0.88,1.24,-0.963,7.568,345.459,274.963
-0.891,1.304,-1.259,-0.244,314.209,242.004
-0.951,1.394,-1.513,-3.235,272.217,203.491
-0.967,1.474,-1.712,-7.446,220.154,168.518
-0.903,1.465,-1.789,-0.488,159.424,132.751
-0.838,1.381,-1.769,14.771,95.093,99.609
-0.789,1.265,-1.663,30.762,31.738,73.486
-0.749,1.197,-1.539,33.875,-25.574,55.847
-0.708,1.165,-1.399,29.053,-77.393,44.861
-0.656,1.156,-1.236,20.386,-122.62,34.546
-0.596,1.185,-1.069,12.39,-158.813,23.682
-0.527,1.222,-0.918,8.728,-185.486,8.972
-0.456,1.237,-0.786,10.315,-203.674,-9.888
-0.37,1.22,-0.655,15.991,-215.82,-32.593
-0.276,1.166,-0.544,24.353,-222.595,-57.434
-0.188,1.105,-0.464,29.602,-225.342,-81.421
-0.106,1.061,-0.401,31.067,-226.624,-102.6
-0.027,1.029,-0.346,30.945,-228.149,-122.986
0.05,0.975,-0.294,31.616,-229.919,-143.066
0.115,0.915,-0.243,29.175,-233.215,-162.231
0.149,0.864,-0.19,20.813,-237,-178.833
0.197,0.843,-0.2,8.789,-241.394,-193.665
0.234,0.809,-0.143,-10.62,-250.61,-211.304
0.26,0.826,-0.028,-32.043,-270.386,-223.328
0.289,0.849,0.126,-38.513,-288.635,-238.586
0.286,0.824,0.358,-23.254,-305.298,-258.85
0.204,0.713,0.663,2.38,-317.932,-284.424
0.233,0.537,0.881,19.897,-312.622,-313.965
0.235,0.38,1.055,22.705,-296.814,-343.201
0.237,0.233,1.187,16.418,-283.569,-365.967
0.277,0.109,1.272,13,-261.047,-368.958
0.325,-0.033,1.29,6.104,-234.314,-364.807
0.379,-0.245,1.3,-14.038,-208.618,-358.948
0.484,-0.498,1.282,-50.232,-186.584,-346.13
0.582,-0.739,1.252,-96.497,-166.931,-317.688
0.675,-0.878,1.247,-137.939,-153.32,-270.63
0.757,-0.889,1.233,-160.034,-141.724,-218.384
0.845,-0.767,1.23,-148.193,-129.761,-170.654
0.901,-0.631,1.188,-108.093,-115.54,-134.888
0.941,-0.489,1.147,-79.285,-104.736,-105.652
0.877,-0.215,1.172,-60.303,-102.234,-71.411
0.858,-0.036,1.083,-33.081,-74.402,-81.238
0.855,0.029,0.953,4.456,-40.833,-100.403
0.859,0.008,0.846,35.583,-21.057,-116.211
0.856,-0.055,0.782,46.509,-15.137,-126.892
0.847,-0.17,0.744,39.795,-16.052,-132.568
0.833,-0.292,0.692,28.625,-15.198,-130.31
0.818,-0.401,0.651,16.296,-12.207,-121.948
0.821,-0.485,0.615,3.296,-9.888,-110.413
0.796,-0.525,0.57,-7.324,-9.216,-98.022
0.767,-0.578,0.53,-18.127,-11.475,-86.304
0.739,-0.593,0.517,-36.804,-16.357,-74.707
0.723,-0.541,0.502,-60.425,-20.386,-62.927
0.718,-0.482,0.482,-80.75,-23.926,-54.565
0.716,-0.427,0.469,-89.905,-28.381,-51.025
0.718,-0.402,0.481,-87.708,-32.898,-50.11
0.734,-0.425,0.511,-75.745,-36.133,-49.988
0.759,-0.476,0.545,-56.213,-38.208,-48.035
0.775,-0.494,0.61,-34.485,-40.1,-41.87
0.779,-0.489,0.661,-12.878,-38.574,-38.696
0.785,-0.503,0.692,4.822,-32.654,-39.001
0.792,-0.54,0.693,15.381,-25.269,-38.94
0.794,-0.567,0.682,18.311,-18.799,-36.316
0.853,-0.59,0.613,14.832,-15.808,-31.372
0.821,-0.542,0.645,2.625,-35.583,-22.766
0.788,-0.492,0.713,-1.343,-60.181,-10.498
0.803,-0.441,0.745,10.681,-61.157,-11.475
0.761,-0.392,0.73,19.47,-58.899,-19.897
0.762,-0.373,0.75,7.568,-54.626,-14.099
0.789,-0.383,0.751,-0.61,-51.208,-1.465
0.77,-0.37,0.742,0.427,-44.373,3.113
0.766,-0.358,0.754,10.071,-36.56,2.014
0.713,-0.387,0.728,17.456,-20.02,-7.08
0.713,-0.407,0.707,16.541,-6.775,-14.587
0.727,-0.415,0.739,14.954,-1.77,-17.761
0.716,-0.407,0.733,7.019,1.831,-16.541
0.728,-0.455,0.74,6.226,4.028,-15.625
0.733,-0.481,0.752,11.047,4.944,-11.169
0.728,-0.483,0.741,7.751,7.263,-4.7
0.728,-0.451,0.725,3.296,9.094,0.366
0.726,-0.414,0.71,5.005,10.132,4.272
0.729,-0.385,0.716,12.146,9.827,7.69
0.723,-0.354,0.708,14.16,9.033,10.01
0.717,-0.333,0.694,12.39,9.399,10.01
0.714,-0.316,0.676,10.437,9.888,8.423
0.714,-0.312,0.659,9.277,10.193,6.409
0.715,-0.317,0.645,8.118,9.644,5.554
0.711,-0.31,0.635,6.897,8.789,5.859
0.707,-0.302,0.628,5.432,7.69,5.981
0.707,-0.308,0.62,4.761,6.775,5.615
0.704,-0.318,0.611,3.296,5.676,5.432
0.706,-0.314,0.605,0.793,4.333,5.737
0.709,-0.305,0.601,-1.038,2.808,6.592
0.71,-0.303,0.599,0.793,1.221,7.263
0.712,-0.308,0.605,4.272,-0.305,7.751
0.709,-0.304,0.609,7.812,-1.953,8.24
0.71,-0.299,0.614,9.766,-3.174,8.606
0.715,-0.299,0.627,9.277,-4.028,8.484
0.72,-0.289,0.636,7.202,-4.089,7.935
,,,,,
0.856,-0.67,1.214,28.137,53.284,22.827
0.841,-0.849,1.333,39.978,71.411,32.41
0.822,-1.177,1.502,47.546,91.736,47.607
0.834,-1.466,1.634,44.556,115.234,74.707
0.832,-1.495,1.636,28.503,143.616,114.807
0.831,-1.28,1.655,21.24,166.931,160.339
0.837,-1.046,1.763,40.955,186.096,199.158
0.806,-1.002,1.963,81.909,209.473,227.234
0.743,-1.049,2.088,118.347,245.117,250.427
0.598,-1.014,2.088,141.357,292.48,278.809
0.401,-0.91,1.992,162.72,344.055,310.791
0.199,-0.777,1.757,177.917,389.038,339.661
0.034,-0.576,1.489,174.316,421.631,362.244
-0.102,-0.45,1.218,154.419,440.308,380.127
-0.202,-0.284,0.963,121.094,449.768,395.447
-0.309,0.015,0.733,91.797,454.895,405.029
-0.356,0.287,0.514,79.224,456.36,399.414
-0.492,0.458,0.269,72.632,454.468,382.507
-0.563,0.67,0.009,66.833,451.599,358.948
-0.613,0.874,-0.232,71.472,446.045,326.843
-0.622,0.984,-0.407,97.595,433.472,291.321
-0.661,1.084,-0.587,132.751,418.945,251.892
-0.664,1.144,-0.756,159.119,396.545,217.285
-0.639,1.142,-0.906,162.231,365.601,187.5
-0.632,1.07,-1.038,139.771,327.759,162.537
-0.635,0.989,-1.128,107.788,279.785,143.677
-0.635,0.951,-1.191,79.834,231.445,133.911
-0.628,0.956,-1.254,62.378,185.669,130.31
-0.632,0.998,-1.312,46.326,137.024,128.662
-0.632,1.07,-1.328,28.381,88.684,125.916
-0.617,1.123,-1.305,16.479,41.809,118.652
-0.598,1.175,-1.25,12.451,-0.366,108.093
-0.568,1.214,-1.163,17.883,-36.438,94.604
-0.548,1.243,-1.091,20.325,-67.078,79.407
-0.528,1.265,-1.014,14.771,-92.896,63.232
-0.493,1.28,-0.935,10.01,-114.075,45.776
-0.439,1.275,-0.862,9.583,-130.188,27.466
-0.392,1.278,-0.798,7.507,-142.151,10.132
-0.334,1.266,-0.75,2.93,-151.245,-6.226
-0.284,1.258,-0.729,-3.723,-157.288,-23.621
-0.234,1.227,-0.719,-7.935,-162.476,-42.542
-0.196,1.172,-0.704,-9.094,-167.603,-61.89
-0.15,1.098,-0.703,-13.306,-173.218,-78.857
-0.118,1.034,-0.726,-16.174,-179.626,-93.384
-0.087,0.973,-0.711,-16.235,-190.247,-105.591
-0.059,0.93,-0.71,-17.944,-199.89,-115.051
-0.039,0.906,-0.707,-19.836,-210.632,-123.657
-0.006,0.892,-0.696,-24.78,-224.548,-132.874
0.006,0.885,-0.673,-37.354,-240.784,-143.982
0.035,0.857,-0.668,-56.458,-254.944,-157.41
0.046,0.848,-0.634,-79.407,-277.283,-169.067
0.055,0.835,-0.556,-96.558,-302.551,-181.274
0.057,0.821,-0.423,-101.074,-328.979,-195.312
0.051,0.787,-0.231,-95.52,-353.149,-209.656
0.039,0.73,0.002,-88.867,-372.742,-224.67
0.029,0.662,0.246,-81.665,-385.925,-240.906
0.007,0.584,0.518,-67.444,-393.25,-257.996
0.018,0.447,0.816,-43.457,-390.869,-278.198
0.088,0.212,1.083,-14.954,-374.939,-300.781
0.169,-0.074,1.263,7.446,-354.065,-320.129
0.289,-0.329,1.358,16.968,-326.416,-327.759
0.329,-0.554,1.39,15.198,-288.269,-326.233
0.454,-0.857,1.418,2.747,-250.854,-306.458
0.651,-1.147,1.446,-29.053,-222.29,-266.785
0.808,-1.286,1.48,-79.712,-198.425,-215.698
0.921,-1.268,1.468,-125.122,-175.11,-154.053
0.995,-1.026,1.355,-157.959,-152.039,-90.759
0.992,-0.722,1.15,-162.72,-129.761,-40.71
1.005,-0.444,1.052,-135.01,-117.31,-8.423
1.021,-0.257,1.035,-88.623,-110.535,7.385
1.045,-0.111,0.999,-44.8,-101.013,15.747
1.051,0.016,0.948,-27.71,-88.684,20.569
1.084,0.138,0.961,-23.743,-79.956,19.47
1.102,0.203,0.972,-16.418,-72.632,11.536
1.091,0.217,0.951,-8.972,-62.195,1.465
1.068,0.179,0.903,-8.606,-50.964,-8.057
1.038,0.104,0.854,-13.855,-41.138,-15.442
0.998,0.043,0.803,-19.958,-32.715,-17.456
0.955,0.011,0.762,-20.996,-25.452,-16.052
0.912,-0.016,0.72,-17.273,-18.86,-15.32
0.871,-0.026,0.678,-14.16,-13.367,-15.869
0.843,-0.035,0.65,-11.658,-8.911,-17.456
0.828,-0.052,0.633,-7.507,-5.066,-19.836
0.82,-0.066,0.615,-2.441,-1.526,-21.729
0.817,-0.078,0.598,2.319,0.916,-22.339
0.82,-0.072,0.586,5.432,2.93,-22.095
0.826,-0.063,0.58,6.836,4.089,-20.996
0.833,-0.054,0.562,7.446,5.249,-20.081
0.839,-0.051,0.551,7.69,5.249,-19.531
0.848,-0.065,0.547,5.737,3.723,-18.372
0.849,-0.056,0.541,3.418,1.465,-14.832
0.856,-0.05,0.549,3.418,-0.183,-13.062
0.858,-0.053,0.549,5.676,-1.709,-11.23
0.85,-0.049,0.553,8.911,-3.601,-9.338
0.848,-0.044,0.562,10.925,-5.493,-7.935
0.848,-0.048,0.569,11.353,-6.653,-7.324
0.844,-0.033,0.592,13.672,-6.836,-5.798
0.842,-0.012,0.593,14.038,-6.165,-5.188
0.839,-0.008,0.6,17.212,-4.639,-6.104
0.83,-0.004,0.599,16.846,-2.991,-7.568
0.832,-0.011,0.592,11.169,-1.038,-9.583
0.831,-0.012,0.581,6.592,0.183,-11.23
0.829,-0.016,0.565,5.92,0.793,-12.146
0.829,-0.034,0.557,6.531,0.488,-12.695
0.833,-0.076,0.562,7.69,-0.366,-12.573
0.837,-0.109,0.557,9.033,-0.854,-10.254
0.835,-0.114,0.553,7.812,-1.465,-6.165
0.833,-0.1,0.549,5.066,-2.014,-1.831
0.833,-0.071,0.545,3.235,-2.747,1.343
0.833,-0.042,0.546,2.441,-3.418,3.296
0.832,-0.021,0.548,2.502,-4.089,3.479
0.831,-0.002,0.553,1.831,-4.089,2.441
0.836,0.006,0.564,1.465,-3.967,0.61
0.839,0,0.569,1.099,-3.479,-0.916
0.84,-0.008,0.571,1.221,-2.686,-2.563
0.838,-0.022,0.57,1.892,-2.014,-4.028
0.837,-0.038,0.572,3.418,-2.014,-4.7
0.837,-0.054,0.574,4.7,-1.953,-4.822
0.835,-0.068,0.576,4.15,-1.953,-4.15
,,,,,
0.951,-0.766,1.336,28.931,4.578,7.629
0.989,-0.985,1.554,30.396,30.457,29.419
0.987,-1.05,1.718,29.175,67.993,60.486
0.977,-0.953,1.771,36.987,113.892,94.055
0.939,-0.793,1.811,58.655,160.706,120.728
0.882,-0.848,1.862,96.802,205.078,137.939
0.773,-1.15,1.818,121.094,248.657,156.25
0.675,-1.244,1.744,99.06,288.574,189.514
0.547,-1.071,1.767,61.34,322.388,238.403
0.391,-0.86,1.717,70.679,359.192,291.077
0.196,-0.581,1.534,116.638,392.761,330.627
0.014,-0.175,1.326,153.992,417.908,356.445
-0.088,0.196,1.06,176.88,437.012,369.446
-0.185,0.513,0.774,183.533,450.134,369.141
-0.238,0.79,0.513,167.847,455.994,360.596
-0.274,0.968,0.233,143.066,458.618,342.163
-0.322,1.092,-0.06,121.155,456.116,317.81
-0.359,1.183,-0.314,106.75,445.068,289.49
-0.364,1.232,-0.514,100.22,424.683,257.812
-0.384,1.234,-0.689,102.905,396.301,225.281
-0.432,1.207,-0.854,89.111,363.525,196.045
-0.463,1.207,-1.039,55.969,328.552,170.776
-0.473,1.2,-1.237,24.414,288.635,147.461
-0.473,1.2,-1.399,3.113,241.394,126.648
-0.478,1.187,-1.495,-3.662,187.256,109.314
-0.49,1.158,-1.531,0.061,129.517,93.628
-0.482,1.135,-1.499,5.676,72.266,76.599
-0.457,1.118,-1.424,4.028,19.653,61.829
-0.463,1.068,-1.337,1.343,-27.771,54.688
-0.448,1.017,-1.223,-3.601,-70.251,44.861
-0.42,1.005,-1.097,-9.766,-106.323,36.133
-0.389,1.02,-0.977,-12.817,-134.46,28.625
-0.354,1.059,-0.877,-13.611,-155.518,19.287
-0.314,1.098,-0.791,-13.672,-170.593,6.592
-0.255,1.119,-0.723,-12.695,-181.335,-9.155
-0.199,1.13,-0.662,-11.902,-189.209,-27.222
-0.133,1.141,-0.619,-10.986,-194.275,-46.509
-0.082,1.133,-0.59,-10.132,-197.998,-67.566
-0.033,1.114,-0.574,-10.376,-201.965,-90.027
0.017,1.084,-0.577,-14.648,-206.848,-112.61
0.069,1.057,-0.594,-23.499,-213.806,-133.85
0.095,1.028,-0.603,-35.522,-225.098,-154.175
0.127,0.992,-0.62,-48.34,-238.22,-174.194
0.154,0.964,-0.603,-63.232,-260.193,-193.42
0.168,0.939,-0.564,-75.562,-287.537,-211.365
